,id,distancia_quilombola_metros,distancia_ind_metros,distancia_urb_metros,distancia_outros_metros,distancia_militar_metros,distancia_semdes_metros,distancia_pi_metros,distancia_us_metros,distancia_min_metros,distancia_p_metros,distancia_m_metros,distancia_g_metros
109,374,163005.78688377028,5403.921938066788,96480.47671726679,10652.372503610111,8695.758554008988,340.9190551737959,147952.96797668922,70737.79433183212,775.5217830344997,958.0461689235428,1913.4853488663646,2152.7593755306875
110,375,154312.3156579892,19640.676596357087,105122.66992221857,10652.372503610111,8695.758554008988,340.9190551737959,146213.73629694572,55398.960760827285,81.2526279175141,502.57009408611066,652.8771680971962,1614.5919415000978
111,381,145723.1259855362,25301.718378753205,113931.62159368934,10652.372503610111,8695.758554008988,340.9190551737959,148121.84764144517,49119.36272350585,282.70273836189284,778.1415569385855,82.24373229997812,5934.648881628453
112,383,112400.01161761535,62773.49530859938,151372.1053696697,10652.372503610111,8695.758554008988,797.9383099460696,153700.77641662612,23132.935744170394,281.1133404838087,974.9372728392341,6217.009362262155,6878.791896648979
113,384,134014.82735550392,55003.55195221099,133117.71518119745,10652.372503610111,8695.758554008988,3891.266296553592,134482.47640392993,19392.850444019365,1294.3412023707233,1635.7705183673177,581.408778109337,3201.167460808707
114,385,154007.85270079543,19022.640735453373,105357.33412240702,10652.372503610111,8695.758554008988,340.9190551737959,147000.12490624032,55975.45195105251,24.428030234956655,1248.1221453667902,240.79356750737634,2394.2773584922375
115,386,161102.04122400144,6932.915801612519,98279.48738452335,10652.372503610111,8695.758554008988,340.9190551737959,149689.50482986108,69040.42447151644,1117.6690166531548,51.35379641140646,3004.5716923260925,2530.722135701277
116,387,121377.34366254136,56034.373786400196,142440.52609783973,10652.372503610111,8695.758554008988,797.9383099460696,147656.60119132037,22968.478780901758,139.33690455219113,2120.7154295005184,3251.1371127782586,13315.050335674061
117,390,153809.23889428147,15910.729339476298,105348.77898381522,10652.372503610111,8695.758554008988,340.9190551737959,150136.02011836675,58790.86961161372,86.55914240685871,345.8332749408652,2208.9812973584944,2144.2139348637756
118,392,138847.19489888265,26180.23615899388,120360.03344467045,10652.372503610111,8695.758554008988,3891.266296553592,155577.2033153039,50485.37032084735,518.0696790884895,649.8329916879164,4329.227476286198,7250.444459438224
119,394,143245.82604575835,29253.099680439336,116851.78696052701,10652.372503610111,8695.758554008988,3891.266296553592,146761.2794044028,45214.027374126075,535.5462487918296,1762.4899776310504,2083.4804824779408,5817.868811954758
120,395,127128.08550345487,51314.570285187496,136416.79300315777,10652.372503610111,8695.758554008988,3891.266296553592,144593.3183554951,25200.224452113016,276.313293100937,2770.752714292227,3817.4096247822495,12736.121084901577
121,397,114317.38763822672,60226.70333019838,148983.2027851856,10652.372503610111,8695.758554008988,797.9383099460696,153244.6468998625,24130.21724307522,1419.5821545080657,1115.268864312156,7339.118117769845,9259.150314082552
122,398,141041.81996088158,18899.156097067666,118601.79446530809,10652.372503610111,8695.758554008988,3891.266296553592,164957.81414701516,61952.30122165442,1012.0275207241756,422.7070795482169,9211.77677308131,4135.558676792137
123,401,119966.02627977401,64904.48595412224,147663.94949250572,10652.372503610111,8695.758554008988,797.9383099460696,143062.37753069043,13552.208818286537,132.04972602825097,111.9468700054807,4782.401037283757,4931.238486809927
124,402,116425.59965207809,61185.68490813958,148062.97784982697,10652.372503610111,8695.758554008988,797.9383099460696,149778.98212339336,20761.65059095363,235.38718189746945,1602.4657472040856,7414.091463516794,8384.392363215127
125,404,153698.73496033452,13700.748195168866,105422.49933830903,10652.372503610111,8695.758554008988,340.9190551737959,152456.77878964104,60775.04683049383,547.0271384081514,1758.1650584522492,4315.47201588566,979.9437108595947
126,408,133154.96060363064,43610.91030951124,129027.32300995039,10652.372503610111,8695.758554008988,3891.266296553592,144235.40987651818,31636.53342025161,240.13096474686193,2273.311423619629,7294.499501344739,8746.889360231697
127,411,105408.06904662294,71253.27036714497,148922.40349073222,10652.372503610111,8695.758554008988,3338.243133088028,156551.0513206844,22799.061336609673,152.54456637156977,152.54456637156977,2847.6821889248467,4480.110894891556
128,413,110526.3483552409,64614.92451261617,153413.04811024992,10652.372503610111,8695.758554008988,797.9383099460696,154718.79221537776,23184.05170338626,179.2255076921758,1608.6964630095367,4531.753568937734,5610.908487183478
129,415,284466.1815262271,21010.722137669323,35921.10033331721,1292.394097937844,8695.758554008988,16155.36385823668,47401.5975057474,34938.83990539721,585.2510523273266,1365.2396968901382,7970.778470734901,11614.84597660976
